Food,Index,Calories,Cholesterol,Total_Fat,Sodium,Carbohydrates,Dietary_Fiber,Protein,Vit_A,Vit_C,Calcium,Iron,Price/Serving ($)
Special K,39,110.8,0,0.1,265.5,21.3,0.7,5.6,1252.2,15.1,8.2,4.5,0.38
Oatmeal,40,145.1,0,2.3,2.3,25.3,4,6.1,37.4,0,18.7,1.6,0.82
"Malt-O-Meal,Choc",41,607.2,0,1.5,16.5,128.2,0,17.3,0,0,23.1,47.2,0.52
Pizza W/Pepperoni,42,181,14.2,7,267,19.9,0,10.1,281.9,1.6,64.6,0.9,0.44
Taco,43,369.4,56.4,20.6,802,26.7,0,20.7,855,2.2,220.6,2.4,0.59
Hamburger W/Toppings,44,275,42.8,10.2,563.9,32.7,0,13.6,126.3,2.6,51.4,2.5,0.83
"Hotdog, Plain",45,242.1,44.1,14.5,670.3,18,0,10.4,0,0.1,23.5,2.3,0.31
Couscous,46,100.8,0,0.1,4.5,20.9,1.3,3.4,0,0,7.2,0.3,0.39
White Rice,47,102.7,0,0.2,0.8,22.3,0.3,2.1,0,0,7.9,0.9,0.08
"Macaroni,Ckd",48,98.7,0,0.5,0.7,19.8,0.9,3.3,0,0,4.9,1,0.17
Peanut Butter,49,188.5,0,16,155.5,6.9,2.1,7.7,0,0,13.1,0.6,0.07
Pork,50,710.8,105.1,72.2,38.4,0,0,13.8,14.7,0,59.9,0.4,0.81
Sardines in Oil,51,49.9,34.1,2.7,121.2,0,0,5.9,53.8,0,91.7,0.7,0.45
White Tuna in Water,52,115.6,35.7,2.1,333.2,0,0,22.7,68,0,3.4,0.5,0.69
"Popcorn,Air-Popped",53,108.3,0,1.2,1.1,22.1,4.3,3.4,55.6,0,2.8,0.8,0.04
"Potato Chips,Bbqflvr",54,139.2,0,9.2,212.6,15,1.2,2.2,61.5,9.6,14.2,0.5,0.22
Pretzels,55,108,0,1,486.2,22.5,0.9,2.6,0,0,10.2,1.2,0.12
Tortilla Chip,56,142,0,7.4,149.7,17.8,1.8,2,55.6,0,43.7,0.4,0.19
Chicknoodl Soup,57,150.1,12.3,4.6,1862.2,18.7,1.5,7.9,1308.7,0,27.1,1.5,0.39
Splt Pea&Hamsoup,58,184.8,7.2,4,964.8,26.8,4.1,11.1,4872,7,33.6,2.1,0.67
Vegetbeef Soup,59,158.1,10,3.8,1915.1,20.4,4,11.2,3785.1,4.8,32.6,2.2,0.71
Neweng Clamchwd,60,175.7,10,5,1864.9,21.8,1.5,10.9,20.1,4.8,82.8,2.8,0.75
Tomato Soup,61,170.7,0,3.8,1744.4,33.2,1,4.1,1393,133,27.6,3.5,0.39
"New E Clamchwd,W/Mlk",62,163.7,22.3,6.6,992,16.6,1.5,9.5,163.7,3.5,186,1.5,0.99
"Crm Mshrm Soup,W/Mlk",63,203.4,19.8,13.6,1076.3,15,0.5,6.1,153.8,2.2,178.6,0.6,0.65
"Beanbacn Soup,W/Watr",64,172,2.5,5.9,951.3,22.8,8.6,7.9,888,1.5,81,2,0.67
